OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order
ASV50	Indv15	0.0414640787272939	Indv15	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales
ASV35	Indv84	0.041192510452645	Indv84	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales
ASV17	Indv133	0.0411415414444983	Indv133	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv37	0.0409538426983117	Indv37	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv100	0.0408558160106148	Indv100	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV19	Indv13	0.0407443365695793	Indv13	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV4	Indv51	0.0406809980569349	Indv51	Case	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV46	Indv65	0.0405987983298822	Indv65	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV13	Indv153	0.0403914067098293	Indv153	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV9	Indv62	0.0403627630211134	Indv62	Control	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV19	Indv114	0.0403322037134266	Indv114	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv79	0.0401828545628986	Indv79	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv88	0.0400411683983533	Indv88	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV19	Indv86	0.0395179249814419	Indv86	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV17	Indv144	0.0394839283728173	Indv144	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV9	Indv13	0.0394174757281553	Indv13	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV50	Indv73	0.0390963313996242	Indv73	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales
ASV13	Indv69	0.039037822952944	Indv69	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV19	Indv137	0.0390270608478023	Indv137	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV3	Indv128	0.0389021368120821	Indv128	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV46	Indv82	0.0387544109453352	Indv82	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV19	Indv73	0.0385243892474875	Indv73	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV17	Indv15	0.0385079155159672	Indv15	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv96	0.0383899948549491	Indv96	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV19	Indv30	0.0383765225979401	Indv30	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV46	Indv113	0.0379754174397032	Indv113	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV17	Indv90	0.0379324504670978	Indv90	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv25	0.0378192356457164	Indv25	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV13	Indv51	0.0376892946365235	Indv51	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV3	Indv153	0.0374484991171277	Indv153	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV19	Indv47	0.0374093663525868	Indv47	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv137	0.0373064289066166	Indv137	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv126	0.0373006458415711	Indv126	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV17	Indv34	0.0372971833953782	Indv34	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv46	0.0372397449641709	Indv46	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV19	Indv105	0.0371759606568309	Indv105	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv16	0.0370038412291933	Indv16	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv114	0.0369433439931268	Indv114	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv17	0.036720419661939	Indv17	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV3	Indv33	0.0367154666789821	Indv33	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV17	Indv30	0.0365423505620091	Indv30	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV19	Indv89	0.0364826175869121	Indv89	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv80	0.0362371010319174	Indv80	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv156	0.0362326461926799	Indv156	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV4	Indv35	0.0358701716386072	Indv35	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV2	Indv158	0.0357399653174301	Indv158	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv18	0.0355549052600775	Indv18	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV46	Indv80	0.0355514415989578	Indv80	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV17	Indv41	0.0353297442799462	Indv41	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV46	Indv125	0.0352434077079107	Indv125	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV9	Indv133	0.0352035870092099	Indv133	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv14	0.035097265678139	Indv14	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV50	Indv123	0.0346117374354652	Indv123	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales
ASV17	Indv22	0.0345943825000817	Indv22	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv68	0.034591620439273	Indv68	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv49	0.0345355964167845	Indv49	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV46	Indv143	0.0344798657718121	Indv143	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV46	Indv3	0.0344086021505376	Indv3	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV125	Indv71	0.0344079018777814	Indv71	Case	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales
ASV17	Indv118	0.034274680183442	Indv118	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv95	0.0341417910447761	Indv95	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV19	Indv141	0.0336129489603025	Indv141	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV17	Indv26	0.0334797321621427	Indv26	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv111	0.0334662249424448	Indv111	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv133	0.0334464372273388	Indv133	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv138	0.0334144363341444	Indv138	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
