OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family
ASV21	Indv108	0.0232301439967889	Indv108	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV21	Indv62	0.0232283041187224	Indv62	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV9	Indv28	0.0232081351484337	Indv28	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
ASV59	Indv3	0.0231689997971191	Indv3	Case	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
ASV17	Indv161	0.0231217595723441	Indv161	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV6	Indv23	0.0230570671131575	Indv23	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
ASV17	Indv158	0.0230512202343188	Indv158	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV46	Indv83	0.0230357877416701	Indv83	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV2	Indv82	0.0230297777502631	Indv82	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV18	Indv73	0.0230002451180652	Indv73	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV17	Indv58	0.022974430741421	Indv58	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV13	Indv2	0.0229727673817131	Indv2	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV2	Indv114	0.0228151400887786	Indv114	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV46	Indv106	0.0226744186046512	Indv106	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV18	Indv120	0.0226739640344019	Indv120	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV46	Indv85	0.0226378962486749	Indv85	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV19	Indv28	0.0225930785632278	Indv28	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV2	Indv26	0.0225718194254446	Indv26	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV50	Indv119	0.0225636617599656	Indv119	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV50	Indv57	0.0224630898825519	Indv57	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV46	Indv32	0.0224279102883588	Indv32	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV17	Indv13	0.0223948220064725	Indv13	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV92	Indv3	0.0223574761614932	Indv3	Case	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]
ASV17	Indv66	0.0223405600595748	Indv66	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV46	Indv30	0.0222452146921883	Indv30	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV50	Indv23	0.0221850146504814	Indv23	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV17	Indv61	0.0221769755668061	Indv61	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV137	Indv41	0.0221652086137281	Indv41	Case	Site1	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]
ASV2	Indv8	0.0221542842784153	Indv8	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV19	Indv51	0.021959719951886	Indv51	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV21	Indv37	0.0218994497061356	Indv37	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV2	Indv27	0.021773886562619	Indv27	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV13	Indv76	0.0216937838965373	Indv76	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV2	Indv121	0.0216651745747538	Indv121	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV18	Indv46	0.0216103368504204	Indv46	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV50	Indv101	0.0215399851448378	Indv101	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV17	Indv33	0.0215212672608876	Indv33	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV17	Indv45	0.0214509334054806	Indv45	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV33	Indv147	0.0214348556346477	Indv147	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae
ASV21	Indv61	0.0214065595421528	Indv61	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV2	Indv115	0.0214000725426188	Indv115	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV50	Indv20	0.0212379665597028	Indv20	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV18	Indv54	0.0211629051536244	Indv54	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV2	Indv81	0.0210307307335451	Indv81	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV65	Indv148	0.0210115010321439	Indv148	Case	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae
ASV46	Indv65	0.0209783088360094	Indv65	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV46	Indv53	0.0208958857421083	Indv53	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV21	Indv160	0.0208160766377354	Indv160	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
