OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV124	Indv73	0	Indv73	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv76	0	Indv76	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv135	0	Indv135	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv159	0	Indv159	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv60	0	Indv60	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv12	0	Indv12	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv143	0	Indv143	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv21	0	Indv21	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv45	0	Indv45	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv69	0	Indv69	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv92	0	Indv92	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv95	0	Indv95	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv74	0	Indv74	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv77	0	Indv77	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv136	0	Indv136	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv16	0	Indv16	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv38	0	Indv38	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv61	0	Indv61	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv120	0	Indv120	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv22	0	Indv22	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv46	0	Indv46	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv93	0	Indv93	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv96	0	Indv96	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv75	0	Indv75	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv78	0	Indv78	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv137	0	Indv137	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv62	0	Indv62	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv145	0	Indv145	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv47	0	Indv47	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv79	0	Indv79	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv138	0	Indv138	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv98	0	Indv98	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv161	0	Indv161	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv4	0	Indv4	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv66	0	Indv66	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv9	0	Indv9	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv67	0	Indv67	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv40	0	Indv40	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv139	0	Indv139	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv80	0	Indv80	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv14	0	Indv14	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv88	0	Indv88	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv89	0	Indv89	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv18	0	Indv18	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv41	0	Indv41	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv19	0	Indv19	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv81	0	Indv81	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv140	0	Indv140	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv86	0	Indv86	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv2	0	Indv2	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv84	0	Indv84	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV125	Indv127	0	Indv127	Control	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv148	0	Indv148	Case	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv35	0	Indv35	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv95	0	Indv95	Control	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv136	0	Indv136	Case	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv38	0	Indv38	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv12	0	Indv12	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv22	0	Indv22	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv113	0	Indv113	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv55	0	Indv55	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv1	0	Indv1	Control	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv87	0	Indv87	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv116	0	Indv116	Case	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv140	0	Indv140	Case	Site1	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv2	0	Indv2	Case	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV125	Indv59	0	Indv59	Control	Site2	Bacteria	Firmicutes	<1%_Abundance
ASV137	Indv15	0	Indv15	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv148	0	Indv148	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv128	0	Indv128	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
