ta1	ta2	ta3	ta4	ta5	ta6	ta7
Porphyromonas catoniae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas catoniae
Porphyromonas crevioricanis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas crevioricanis
Porphyromonas gingivalis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas gingivalis
Porphyromonas macacae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas macacae
Porphyromonas pasteri	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas pasteri
Porphyromonas sp.	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Porphyromonas sp.
Unclassified Porphyromonas	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonas	s_Unclassified Porphyromonas
Unclassified Porphyromonadaceae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Unclassified Porphyromonadaceae	s_Unclassified Porphyromonadaceae
Alloprevotella sp.	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella	s_Alloprevotella sp.
Alloprevotella tannerae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella	s_Alloprevotella tannerae
Unclassified Alloprevotella	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Alloprevotella	s_Unclassified Alloprevotella
Prevotella amnii	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella amnii
Prevotella baroniae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella baroniae
Prevotella bivia	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella bivia
Prevotella conceptionensis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella conceptionensis
Prevotella denticola	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella denticola
Prevotella disiens	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella disiens
Prevotella fusca	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella fusca
Prevotella histicola	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella histicola
Prevotella ihumii	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella ihumii
Prevotella intermedia	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella intermedia
Prevotella jejuni	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella jejuni
Prevotella koreensis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	g_Prevotella	s_Prevotella koreensis
