SampleID	Group
10423.57FYV3URBQ9KJ	toronto
10423.BLIH6U8IDUJ6	toronto
10423.1V81YMEABYH1E	sandiego
10423.28RDQ9KW8BMNJ	sandiego
10423.3DASAYTZPV5D2	sandiego
10423.6OXX5AD3NP9FV	toronto
10423.21UVODNK3HT11	toronto
10423.AYKMFN2FE03H	sandiego
10423.74ZUE8TD16BMN	toronto
10423.1XG4WO1GSPVXO	toronto
10423.1ZQYU2L9YU5YF	toronto
10423.72L69Z2XJVVJJ	sandiego
10423.4U6H6K7W79Y7Q	sandiego
10423.14DVC81ULOKY	toronto
10423.4LFEMEERENPJF	toronto
10423.12O93FGR49SBV	toronto
10423.4A2ZICC1K31B9	toronto
10423.446LQVVOESSCV	sandiego
10423.66ZRFR7SRWWB7	sandiego
10423.1U7UL8O0J99SV	toronto
10423.6TOLKN9XLKKWS	toronto
10423.5D2XASYN2HBSG	toronto
10423.2RTKWTJSCHP8C	sandiego
10423.66WRG0ZL3SQAC	toronto
10423.3CMIES7UTA0SL	sandiego
10423.7601OEGBYDV0F	toronto
10423.66SU9FMYUYLIB	toronto
10423.3QVA9UGL5PKMR	toronto
10423.1CXPRIT9LAQCA	sandiego
10423.4OJRKS8ZOAV6P	sandiego
10423.5VCC4L8NHFS0W	toronto
10423.4JDWUKUTYFBTZ	toronto
10423.1QSZ3L7B99MH8	sandiego
10423.E4CP75KBS2FY	sandiego
10423.44YSQFR4OQDUM	sandiego
10423.2YGQPWDXVXYOS	sandiego
10423.6OG8LS0TIMHRQ	sandiego
10423.2BU5WIYHC36TW	toronto
10423.2SUVB9DG00VP9	sandiego
10423.2X6P9F3XBBX6X	toronto
10423.7Q3J9E8VQ3425	toronto
10423.5G7J6C15FE4HD	toronto
10423.3W4Z3OY2B9M73	sandiego
10423.7P28Y6IIY1LFZ	toronto
10423.511B6X8OM383E	sandiego
10423.4Y1D9F7MRTHBF	sandiego
10423.4KQVWANNAALS2	toronto
10423.5S5PUORQXZPMX	sandiego
10423.7804BUBZRVC0O	toronto
10423.4ZTOG6GR5SZMJ	sandiego
10423.5AJ2GCHYBASF	toronto
10423.B88VC7TX6TVL	toronto
10423.68H2FEKHPZYK6	toronto
10423.7HB1O2US67MJE	toronto
10423.36Y4XXJ0B9PQ8	toronto
10423.2E3KSRXBQY807	sandiego
10423.5WMYV28SLU6IM	toronto
10423.6S8DM20MIBHW7	toronto
10423.12RUD5F3C6BCL	toronto
10423.44DA02888HG44	sandiego
10423.6ZJKAY5BZLL0Q	sandiego
10423.5IYDVEALN1LZO	sandiego
10423.1KMESYM2025GJ	toronto
10423.1TXC574UEEFZ9	sandiego
10423.5FQ3JYX5DKZUV	sandiego
10423.3Y0VNE8TSNBDO	sandiego
10423.4FCFLHRUDCRJG	sandiego
10423.55HQ05RBMVOXL	sandiego
10423.2JH6ZNY0WBQ22	toronto
10423.7DTF3UE5BDG8J	toronto
10423.2RAT910TH3AH2	toronto
10423.5FJR7NYVKTXUX	sandiego
10423.4AK37U1RKYK6G	toronto
10423.6BL6N3D1NCSVB	toronto
10423.6FO2XC0ZZOM0A	toronto
10423.3IKH4TBGVF6XE	sandiego
10423.29M2V97ZZU42V	sandiego
10423.2PK60KKXXMO21	toronto
10423.2CQ72Y0JX6YE0	toronto
10423.2PUXAJ93A9H2J	toronto
10423.6VOO835LF21X1	sandiego
10423.OPZRMUHS6Q62	toronto
10423.6ZFE3ZH4S05CB	sandiego
10423.4C45A2EE3W5EN	toronto
10423.1RMI4KHQCSI3R	toronto
10423.4X832D26W2KVS	sandiego
10423.PCLMAK2YRAZP	toronto
10423.3NJ5RJWIL2SFL	toronto
10423.4EHQDA1FQCM9D	sandiego
10423.5TIUQLJJJZ028	sandiego
10423.7M0MZ5KXDRAX6	sandiego
10423.4IHVO5SRDBK9V	toronto
10423.7M785DO6EAC40	sandiego
10423.2CZJBR3QIKIK2	sandiego
10423.45UU02WI5BT9H	sandiego
10423.3SVCXAC8Z71N0	sandiego
10423.783YIPIM31I31	sandiego
10423.24N5BDEO6WVJ1	toronto
10423.2AWYIVGF7I5M8	sandiego
10423.553MAE9TA4C39	toronto
10423.16WWJ7G5L1YBO	toronto
10423.4FAIMTN0K2KQZ	toronto
10423.3BRBFI46V899Z	toronto
10423.1035JWIR12NOE	toronto
10423.10D68VONUVV9H	sandiego
10423.10QFRI7RKL82B	toronto
10423.11BGNLA3UAVPJ	toronto
10423.11C7BSVN8M4ZP	toronto
10423.11ISL9274MU1A	toronto
10423.11OZ3D1HN9VK0	sandiego
10423.12387CEEUK4ON	sandiego
10423.128HFD5ZWZJLG	sandiego
10423.12HBX3VX7BHIZ	toronto
10423.12Z9DRGHFNW8R	toronto
10423.131IPA35PGSZG	sandiego
10423.136A30E6LCXSZ	toronto
10423.13DM0O69VOW4Q	sandiego
10423.13F9YYZIQ7S0T	toronto
10423.13RSTDX31LVJH	sandiego
10423.13Y52GS1YV9OO	sandiego
10423.14M2IKT1JG0G6	sandiego
10423.15Q3ZLMMRTPWB	sandiego
10423.15T7F14ET6YTR	toronto
10423.15UDM9KECO8HB	toronto
10423.16K8AKN6F4YIP	toronto
10423.16TNPK2YP5T3X	toronto
10423.173X8GDUQQZVW	toronto
10423.17C6CZACLSWYT	sandiego
10423.185YB3T1SLFMZ	toronto
10423.18W8IFQA0861R	sandiego
10423.18YQF07K33XH	sandiego
10423.1A94DZ6HNG5KO	sandiego
10423.1AM1JR7QWMSFA	toronto
10423.1BDNPAGN2D543	toronto
10423.1BIBNBI3L0711	sandiego
10423.1BPT0054XMWP	sandiego
10423.1BSL9FWAI31NR	sandiego
10423.1BVL5Y17APJTV	toronto
10423.1C1FNYIWWXBQJ	toronto
10423.1C3XTEAKEI7O4	toronto
10423.1CU4HSUXDE7BK	toronto
10423.1CUYOXTC0G7D2	sandiego
10423.1CW08G4OEWK9	sandiego
10423.1CW4W69BJXH0M	sandiego
10423.1D4U5L3W6VR5	sandiego
10423.1DVNTDWV470U4	toronto
10423.1E06D72WSB6GR	sandiego
10423.1F81XUZTGDE4I	sandiego
